POLICY_YEAR,CC_BAND_GROUP,AGE_FLOOR2,FUEL_TYPE_GROUP,NCB,zero_dep_flag,IDV_BAND,WRITTEN_PREMIUM,POLICY_COUNT,IDV,CLAIM_COUNT,INCURRED_CLAIM,VEHICLE_MAKE,AVG_IDV,FUEL_AGE_NILDEP,NCB_ADJ_POLICY_COUNT,Severity_by_IDV,Severity
2016,1001 to 1300,5,1Petrol,1<20,NO,1<3Lakh,83217156,27130,4943102361,3400,63311636,1MakeA,182200,1Petrol5NO,27130,0.102200921,18621.06941
2016,1001 to 1300,5,1Petrol,1<20,NO,1<3Lakh,308525,93,17141554,7,107222,1MakeA,184317,1Petrol5NO,93,0.083103367,15317.42857
2016,1001 to 1300,5,1Petrol,1<20,NO,1<3Lakh,6990733,2265,367610389,481,7228379.8,1MakeA,162300,1Petrol5NO,2265,0.092592608,15027.81663
2016,1001 to 1300,5,1Petrol,1<20,NO,1<3Lakh,2300789,764,131732800,77,1286030,1MakeA,172425,1Petrol5NO,764,0.096863423,16701.68831
2016,1001 to 1300,5,1Petrol,1<20,NO,1<3Lakh,3014114,978,176915268,90,1574289,MakeB,180894,1Petrol5NO,978,0.096697555,17492.1
2016,1001 to 1300,5,1Petrol,1<20,NO,1<3Lakh,13466,5,902186,0,0,MakeB,180437,1Petrol5NO,5,,
2016,1001 to 1300,5,1Petrol,1<20,NO,1<3Lakh,108149,34,6077369,2,18113,MakeB,178746,1Petrol5NO,34,0.050666826,9056.5
2016,1001 to 1300,5,1Petrol,1<20,NO,1<3Lakh,275871,76,14019036,20,345128,MakeB,184461,1Petrol5NO,76,0.093550398,17256.4
2016,1001 to 1300,5,1Petrol,1<20,NO,1<3Lakh,3552632,1157,205470373,99,1956356,MakeC,177588,1Petrol5NO,1157,0.111274805,19761.17172
2016,1001 to 1300,5,1Petrol,1<20,NO,1<3Lakh,25553,8,1587912,1,21100,MakeC,198489,1Petrol5NO,8,0.10630312,21100
2016,1001 to 1300,5,1Petrol,1<20,NO,1<3Lakh,107498,34,6098764,2,25360,MakeC,179375,1Petrol5NO,34,0.070689733,12680
